county,city,state,model_year,make,model,type,cafv_eligibility,electric_utility
Kitsap,Seabeck,WA,2023,TOYOTA,RAV4 PRIME,PHEV,Eligible,PUGET SOUND ENERGY INC
Kitsap,Bremerton,WA,2018,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC
King,Seattle,WA,2020,TESLA,MODEL 3,BEV,Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
King,Seattle,WA,2014,NISSAN,LEAF,BEV,Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Thurston,Yelm,WA,2017,CHEVROLET,BOLT EV,BEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Lynnwood,WA,2020,TESLA,MODEL Y,BEV,Eligible,PUGET SOUND ENERGY INC
Kitsap,Poulsbo,WA,2022,HYUNDAI,SANTA FE,PHEV,Eligible,PUGET SOUND ENERGY INC
Snohomish,Arlington,WA,2023,RIVIAN,R1T,BEV,Unknown,PUGET SOUND ENERGY INC
King,Kent,WA,2020,TESLA,MODEL Y,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Kirkland,WA,2015,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Kitsap,Bremerton,WA,2017,CHEVROLET,BOLT EV,BEV,Eligible,PUGET SOUND ENERGY INC
Thurston,Tumwater,WA,2013,FORD,FOCUS,BEV,Eligible,PUGET SOUND ENERGY INC
Yakima,Yakima,WA,2016,KIA,SOUL,BEV,Eligible,PACIFICORP
Thurston,Centralia,WA,2018,CHEVROLET,VOLT,PHEV,Eligible,PUGET SOUND ENERGY INC
King,Seattle,WA,2017,AUDI,A3,PHEV,Not Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Snohomish,Lynnwood,WA,2013,NISSAN,LEAF,BEV,Eligible,PUGET SOUND ENERGY INC
Thurston,Olympia,WA,2024,DODGE,HORNET,PHEV,Eligible,PUGET SOUND ENERGY INC
King,Kirkland,WA,2018,TESLA,MODEL S,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Issaquah,WA,2018,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
King,Duvall,WA,2018,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
Thurston,Olympia,WA,2012,CHEVROLET,VOLT,PHEV,Eligible,PUGET SOUND ENERGY INC
King,Seattle,WA,2017,BMW,I3,PHEV,Eligible,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
Snohomish,Lake Stevens,WA,2019,KIA,NIRO,BEV,Eligible,PUGET SOUND ENERGY INC
Yakima,Yakima,WA,2018,TESLA,MODEL 3,BEV,Eligible,PACIFICORP
Thurston,Olympia,WA,2018,TESLA,MODEL 3,BEV,Eligible,PUGET SOUND ENERGY INC
